parcel_id,observed_conversion_5yr,synthetic_conversion_probability,conversion_type
P0000001,0,0.122,none
P0000002,0,0.0011,none
P0000003,0,0.0285,none
P0000004,0,0.0184,none
P0000005,0,0.0106,none
P0000006,0,0.0821,none
P0000007,0,0.0272,none
P0000008,0,0.001,none
P0000009,0,0.0255,none
P0000010,0,0.0086,none
P0000011,0,0.0189,none
P0000012,0,0.0066,none
P0000013,0,0.0038,none
P0000014,0,0.0972,none
P0000015,0,0.0104,none
P0000016,0,0.0043,none
P0000017,0,0.0191,none
P0000018,0,0.0155,none
P0000019,0,0.0813,none
P0000020,0,0.0251,none
P0000021,0,0.0236,none
P0000022,0,0.0059,none
P0000023,0,0.0059,none
P0000024,0,0.0242,none
P0000025,0,0.0099,none
P0000026,0,0.0362,none
P0000027,1,0.0498,data_center
P0000028,0,0.0252,none
P0000029,0,0.0017,none
P0000030,0,0.0227,none
P0000031,0,0.0533,none
P0000032,0,0.0039,none
P0000033,0,0.0225,none
P0000034,0,0.0625,none
P0000035,0,0.0144,none
P0000036,0,0.0633,none
P0000037,0,0.0023,none
P0000038,0,0.0042,none
P0000039,0,0.0119,none
P0000040,0,0.0161,none
P0000041,0,0.0752,none
P0000042,0,0.0178,none
P0000043,0,0.0192,none
P0000044,0,0.0008,none
P0000045,0,0.0155,none
P0000046,0,0.0143,none
P0000047,0,0.0175,none
P0000048,0,0.0068,none
P0000049,0,0.0168,none
P0000050,0,0.033,none
P0000051,0,0.1773,none
P0000052,0,0.0234,none
P0000053,0,0.0298,none
P0000054,0,0.0411,none
P0000055,0,0.0061,none
P0000056,0,0.0225,none
P0000057,0,0.0006,none
P0000058,0,0.0118,none
P0000059,0,0.0073,none
P0000060,0,0.001,none
P0000061,0,0.0135,none
P0000062,0,0.0306,none
P0000063,0,0.0215,none
P0000064,0,0.0431,none
P0000065,0,0.0111,none
P0000066,0,0.0356,none
P0000067,0,0.0007,none
P0000068,0,0.0073,none
P0000069,0,0.0109,none
P0000070,0,0.0257,none
P0000071,0,0.0228,none
P0000072,0,0.014,none
P0000073,0,0.0089,none
P0000074,0,0.1594,none
P0000075,0,0.0007,none
P0000076,0,0.0185,none
P0000077,0,0.0179,none
P0000078,0,0.0185,none
P0000079,0,0.0052,none
P0000080,0,0.0365,none
P0000081,0,0.0124,none
P0000082,0,0.0149,none
P0000083,0,0.0702,none
P0000084,0,0.0106,none
P0000085,0,0.0101,none
P0000086,0,0.0433,none
P0000087,0,0.0245,none
P0000088,0,0.1678,none
P0000089,0,0.0428,none
P0000090,0,0.0264,none
P0000091,0,0.006,none
P0000092,0,0.0106,none
P0000093,0,0.015,none
P0000094,0,0.013,none
P0000095,0,0.0193,none
P0000096,0,0.021,none
P0000097,0,0.0181,none
P0000098,0,0.0123,none
P0000099,0,0.0216,none
P0000100,0,0.0104,none
P0000101,0,0.0023,none
P0000102,0,0.1074,none
P0000103,0,0.0362,none
P0000104,1,0.0451,solar
P0000105,0,0.0324,none
P0000106,0,0.0221,none
P0000107,0,0.0013,none
P0000108,0,0.2178,none
P0000109,0,0.0021,none
P0000110,0,0.0155,none
P0000111,0,0.0233,none
P0000112,0,0.028,none
P0000113,0,0.0166,none
P0000114,0,0.0184,none
P0000115,0,0.0184,none
P0000116,0,0.097,none
P0000117,0,0.0352,none
P0000118,0,0.0156,none
P0000119,0,0.0021,none
P0000120,0,0.0049,none
P0000121,0,0.0323,none
P0000122,0,0.047,none
P0000123,0,0.0441,none
P0000124,0,0.0063,none
P0000125,0,0.0197,none
P0000126,0,0.0349,none
P0000127,0,0.009,none
P0000128,0,0.0363,none
P0000129,0,0.0336,none
P0000130,1,0.0635,industrial
P0000131,0,0.0466,none
P0000132,0,0.0167,none
P0000133,0,0.0047,none
P0000134,0,0.0172,none
P0000135,0,0.0444,none
P0000136,0,0.0146,none
P0000137,0,0.0564,none
P0000138,0,0.0018,none
P0000139,0,0.0025,none
P0000140,0,0.0059,none
P0000141,0,0.0099,none
P0000142,0,0.0038,none
P0000143,0,0.0428,none
P0000144,0,0.0239,none
P0000145,0,0.0074,none
P0000146,0,0.0037,none
P0000147,0,0.0196,none
P0000148,0,0.0153,none
P0000149,0,0.1242,none
P0000150,0,0.0238,none
P0000151,0,0.0321,none
P0000152,0,0.0093,none
P0000153,0,0.001,none
P0000154,0,0.064,none
P0000155,0,0.0242,none
P0000156,0,0.0179,none
P0000157,0,0.0062,none
P0000158,0,0.1348,none
P0000159,0,0.0053,none
P0000160,0,0.0195,none
P0000161,0,0.0149,none
P0000162,0,0.03,none
P0000163,0,0.011,none
P0000164,1,0.6133,data_center
P0000165,0,0.6998,none
P0000166,0,0.0162,none
P0000167,0,0.0315,none
P0000168,0,0.0009,none
P0000169,0,0.0037,none
P0000170,0,0.0027,none
P0000171,0,0.2055,none
P0000172,0,0.0131,none
P0000173,0,0.026,none
P0000174,0,0.0186,none
P0000175,0,0.0438,none
P0000176,0,0.0049,none
P0000177,0,0.005,none
P0000178,0,0.0093,none
P0000179,0,0.0098,none
P0000180,0,0.0016,none
P0000181,0,0.0124,none
P0000182,0,0.0197,none
P0000183,0,0.0659,none
P0000184,0,0.0182,none
P0000185,0,0.0126,none
P0000186,0,0.0223,none
P0000187,0,0.0229,none
P0000188,0,0.0102,none
P0000189,0,0.0344,none
P0000190,0,0.0022,none
P0000191,0,0.011,none
P0000192,0,0.0292,none
P0000193,0,0.0117,none
P0000194,0,0.0362,none
P0000195,0,0.0188,none
P0000196,0,0.1454,none
P0000197,0,0.0177,none
P0000198,0,0.0484,none
P0000199,0,0.0067,none
P0000200,0,0.0048,none
P0000201,0,0.0256,none
P0000202,0,0.0106,none
P0000203,0,0.0226,none
P0000204,0,0.0053,none
P0000205,0,0.0578,none
P0000206,0,0.0228,none
P0000207,0,0.0199,none
P0000208,0,0.0068,none
P0000209,0,0.0092,none
P0000210,0,0.0108,none
P0000211,0,0.0036,none
P0000212,0,0.0178,none
P0000213,0,0.0102,none
P0000214,0,0.0277,none
P0000215,0,0.0042,none
P0000216,0,0.0116,none
P0000217,0,0.022,none
P0000218,1,0.6212,solar
P0000219,0,0.0151,none
P0000220,0,0.0166,none
P0000221,1,0.025,solar
P0000222,0,0.0116,none
P0000223,0,0.0402,none
P0000224,0,0.0188,none
P0000225,0,0.0171,none
P0000226,0,0.0334,none
P0000227,0,0.0269,none
P0000228,0,0.0101,none
P0000229,0,0.0168,none
P0000230,0,0.1866,none
P0000231,0,0.0561,none
P0000232,0,0.0053,none
P0000233,0,0.0194,none
P0000234,0,0.0178,none
P0000235,0,0.005,none
P0000236,0,0.1945,none
P0000237,0,0.0281,none
P0000238,0,0.0103,none
P0000239,0,0.0123,none
P0000240,0,0.0065,none
P0000241,0,0.003,none
P0000242,0,0.1626,none
P0000243,0,0.0452,none
P0000244,0,0.0442,none
P0000245,0,0.0097,none
P0000246,0,0.0452,none
P0000247,0,0.0049,none
P0000248,0,0.0072,none
P0000249,0,0.0298,none
P0000250,0,0.0104,none
P0000251,0,0.0121,none
P0000252,1,0.2284,industrial
P0000253,0,0.0291,none
P0000254,0,0.0238,none
P0000255,0,0.0187,none
P0000256,0,0.0729,none
P0000257,0,0.0042,none
P0000258,0,0.0845,none
P0000259,0,0.0044,none
P0000260,0,0.0073,none
P0000261,0,0.0466,none
P0000262,0,0.0033,none
P0000263,0,0.0024,none
P0000264,0,0.0532,none
P0000265,0,0.0635,none
P0000266,0,0.0458,none
P0000267,0,0.0336,none
P0000268,0,0.0355,none
P0000269,0,0.0112,none
P0000270,0,0.0104,none
P0000271,0,0.0046,none
P0000272,0,0.0031,none
P0000273,0,0.0445,none
P0000274,0,0.0197,none
P0000275,0,0.0568,none
P0000276,0,0.0062,none
P0000277,0,0.0066,none
P0000278,0,0.1147,none
P0000279,0,0.0164,none
P0000280,0,0.0245,none
P0000281,0,0.0272,none
P0000282,0,0.0154,none
P0000283,0,0.0184,none
P0000284,0,0.0267,none
P0000285,0,0.1133,none
P0000286,0,0.1015,none
P0000287,0,0.0109,none
P0000288,0,0.0204,none
P0000289,0,0.0103,none
P0000290,0,0.0186,none
P0000291,0,0.0104,none
P0000292,0,0.0018,none
P0000293,0,0.0121,none
P0000294,0,0.0171,none
P0000295,0,0.0266,none
P0000296,0,0.0413,none
P0000297,0,0.0211,none
P0000298,0,0.0183,none
P0000299,1,0.0505,industrial
P0000300,0,0.006,none
P0000301,0,0.0061,none
P0000302,1,0.0163,industrial
P0000303,0,0.0254,none
P0000304,0,0.0335,none
P0000305,0,0.0352,none
P0000306,0,0.0148,none
P0000307,1,0.0062,data_center
P0000308,0,0.0107,none
P0000309,1,0.0325,data_center
P0000310,0,0.0113,none
P0000311,0,0.0505,none
P0000312,0,0.0098,none
P0000313,0,0.038,none
P0000314,0,0.025,none
P0000315,0,0.0221,none
P0000316,0,0.0458,none
P0000317,0,0.0388,none
P0000318,0,0.0423,none
P0000319,0,0.0037,none
P0000320,0,0.0043,none
P0000321,0,0.0381,none
P0000322,0,0.301,none
P0000323,0,0.0257,none
P0000324,0,0.0209,none
P0000325,0,0.0649,none
P0000326,0,0.0148,none
P0000327,0,0.002,none
P0000328,0,0.0055,none
P0000329,0,0.0058,none
P0000330,0,0.0206,none
P0000331,0,0.0062,none
P0000332,0,0.0132,none
P0000333,0,0.0061,none
P0000334,0,0.0135,none
P0000335,0,0.0081,none
P0000336,0,0.0055,none
P0000337,0,0.0115,none
P0000338,0,0.0116,none
P0000339,0,0.0814,none
P0000340,0,0.0377,none
P0000341,0,0.0056,none
P0000342,0,0.0161,none
P0000343,0,0.0138,none
P0000344,0,0.0072,none
P0000345,0,0.0006,none
P0000346,0,0.0179,none
P0000347,0,0.0375,none
P0000348,0,0.034,none
P0000349,0,0.0751,none
P0000350,0,0.0101,none
P0000351,0,0.0007,none
P0000352,0,0.0529,none
P0000353,0,0.0096,none
P0000354,0,0.0512,none
P0000355,0,0.0083,none
P0000356,0,0.0258,none
P0000357,1,0.955,data_center
P0000358,0,0.021,none
P0000359,0,0.003,none
P0000360,0,0.0016,none
P0000361,0,0.0053,none
P0000362,0,0.0055,none
