parcel_id,infra_type,nearest_infra_id,distance_km
P0000001,transmission_line,I00001,16.153810114053105
P0000001,substation,I00005,17.703622533190558
P0000001,fiber_node,I00007,26.37286969200766
P0000001,water_source,I00008,22.846340026518277
P0000001,highway_interchange,I00009,22.42981966032354
P0000001,data_center,I00011,16.972447049961215
P0000002,transmission_line,I00003,9.21997476981771
P0000002,substation,I00004,24.471898969286862
P0000002,fiber_node,I00006,22.38747265993721
P0000002,water_source,I00008,25.42758027173621
P0000002,highway_interchange,I00010,12.81358239697015
P0000002,data_center,I00012,17.642659739299457
P0000003,transmission_line,I00002,2.0191691423177245
P0000003,substation,I00004,3.3504674862791486
P0000003,fiber_node,I00007,4.0923309878516
P0000003,water_source,I00008,17.71429519157909
P0000003,highway_interchange,I00009,6.5035372136025575
P0000003,data_center,I00012,7.810140033538291
P0000004,transmission_line,I00003,4.058251215219386
P0000004,substation,I00004,15.451807708952721
P0000004,fiber_node,I00007,17.08196802963832
P0000004,water_source,I00008,20.63712096290701
P0000004,highway_interchange,I00010,3.8027616964204825
P0000004,data_center,I00012,8.62516354021496
P0000005,transmission_line,I00002,3.9622797193850845
P0000005,substation,I00004,6.022211685255028
P0000005,fiber_node,I00007,7.380606567363801
P0000005,water_source,I00008,14.871341862740318
P0000005,highway_interchange,I00010,9.862422422829354
P0000005,data_center,I00012,6.308437752918406
P0000006,transmission_line,I00003,14.171444969568968
P0000006,substation,I00005,11.476559993133597
P0000006,fiber_node,I00006,7.1780873647714625
P0000006,water_source,I00008,4.732936781803192
P0000006,highway_interchange,I00010,17.929910935524102
P0000006,data_center,I00011,10.680018475847747
P0000007,transmission_line,I00002,12.628387288106817
P0000007,substation,I00004,7.363395944322563
P0000007,fiber_node,I00007,7.6546533592026655
P0000007,water_source,I00008,26.705697586014697
P0000007,highway_interchange,I00010,11.412283440007705
P0000007,data_center,I00012,8.04283041044863
P0000008,transmission_line,I00001,15.238206574610619
P0000008,substation,I00005,24.14540446598713
P0000008,fiber_node,I00007,26.52161463600743
P0000008,water_source,I00008,31.027595218331122
P0000008,highway_interchange,I00009,21.510502041619674
P0000008,data_center,I00011,24.742103805049464
P0000009,transmission_line,I00002,11.638469578762543
P0000009,substation,I00005,5.612913334228506
P0000009,fiber_node,I00006,13.626244999878452
P0000009,water_source,I00008,5.002329274739773
P0000009,highway_interchange,I00010,15.381354072510954
P0000009,data_center,I00011,6.401686627105334
P0000010,transmission_line,I00001,14.232154181484086
P0000010,substation,I00005,13.225568422150722
P0000010,fiber_node,I00007,23.300827881957346
P0000010,water_source,I00008,18.34375687290974
P0000010,highway_interchange,I00009,19.932428581281627
P0000010,data_center,I00011,12.41527287233772
P0000011,transmission_line,I00002,8.75765964888503
P0000011,substation,I00005,6.218876121496952
P0000011,fiber_node,I00007,13.760555959389789
P0000011,water_source,I00008,8.424033799563874
P0000011,highway_interchange,I00010,12.539809700418012
P0000011,data_center,I00011,8.4323084435028
P0000012,transmission_line,I00003,6.390393424319388
P0000012,substation,I00004,10.288731503895155
P0000012,fiber_node,I00007,11.973949621444891
P0000012,water_source,I00008,16.604726562214918
P0000012,highway_interchange,I00010,3.4699633789053337
P0000012,data_center,I00012,4.283005589902606
P0000013,transmission_line,I00001,14.353088148724181
P0000013,substation,I00005,19.772078239315913
P0000013,fiber_node,I00007,25.433492913564052
P0000013,water_source,I00008,25.987555268466963
P0000013,highway_interchange,I00009,20.904748513270984
P0000013,data_center,I00011,19.800599629147413
P0000014,transmission_line,I00001,9.174703107995237
P0000014,substation,I00004,9.303171187146424
P0000014,fiber_node,I00007,7.61901023564471
P0000014,water_source,I00008,27.237035550619016
P0000014,highway_interchange,I00009,4.650527834926163
P0000014,data_center,I00012,15.990024199365358
P0000015,transmission_line,I00002,14.61283023024118
P0000015,substation,I00004,10.690408850868478
P0000015,fiber_node,I00007,9.258629201966295
P0000015,water_source,I00008,30.851261752509128
P0000015,highway_interchange,I00009,9.23166430671723
P0000015,data_center,I00012,16.149373047033478
P0000016,transmission_line,I00003,13.386542639003043
P0000016,substation,I00005,19.912463611226734
P0000016,fiber_node,I00006,5.6831533188459815
P0000016,water_source,I00008,13.468089840964005
P0000016,highway_interchange,I00010,19.207332314163626
P0000016,data_center,I00011,19.461404954667135
P0000017,transmission_line,I00002,5.762978515383747
P0000017,substation,I00005,6.764621409697029
P0000017,fiber_node,I00007,10.798904814067209
P0000017,water_source,I00008,14.693137482880832
P0000017,highway_interchange,I00009,8.921154767962689
P0000017,data_center,I00011,9.608280745128226
P0000018,transmission_line,I00002,16.70362821500493
P0000018,substation,I00004,11.691952014015026
P0000018,fiber_node,I00007,12.245402265541573
P0000018,water_source,I00008,29.287531572074233
P0000018,highway_interchange,I00010,11.282878185324204
P0000018,data_center,I00012,9.831328308455182
P0000019,transmission_line,I00002,4.658321276944536
P0000019,substation,I00005,5.851311008371602
P0000019,fiber_node,I00007,10.20832973659317
P0000019,water_source,I00008,11.625102694773968
P0000019,highway_interchange,I00009,11.331401766416858
P0000019,data_center,I00011,9.111495798718058
P0000020,transmission_line,I00002,2.2182124647832557
P0000020,substation,I00004,3.6840516230229774
P0000020,fiber_node,I00007,4.718619172663877
P0000020,water_source,I00008,17.10198027537293
P0000020,highway_interchange,I00009,7.444537832969253
P0000020,data_center,I00012,7.145510155527117
P0000021,transmission_line,I00002,9.308814544362757
P0000021,substation,I00004,5.158837964018076
P0000021,fiber_node,I00007,6.47971446691255
P0000021,water_source,I00008,21.888925566561657
P0000021,highway_interchange,I00010,7.443553372692764
P0000021,data_center,I00012,3.180781068363331
P0000022,transmission_line,I00002,20.04164107718327
P0000022,substation,I00005,10.431650100980718
P0000022,fiber_node,I00006,14.589847799857248
P0000022,water_source,I00008,6.701998910600047
P0000022,highway_interchange,I00009,25.43384285125392
P0000022,data_center,I00011,7.127728387392383
P0000023,transmission_line,I00002,19.92770668718763
P0000023,substation,I00004,14.667806966665987
P0000023,fiber_node,I00007,14.167905399391254
P0000023,water_source,I00008,35.00240991863443
P0000023,highway_interchange,I00009,17.010575635133314
P0000023,data_center,I00012,16.48878437631935
P0000024,transmission_line,I00003,10.917182103632479
P0000024,substation,I00004,8.11108061686463
P0000024,fiber_node,I00007,9.533617112695856
P0000024,water_source,I00008,21.961566237505835
P0000024,highway_interchange,I00010,4.741380945979066
P0000024,data_center,I00012,2.647432693776225
P0000025,transmission_line,I00001,10.275420488276653
P0000025,substation,I00005,15.077922113580273
P0000025,fiber_node,I00007,20.90031676132089
P0000025,water_source,I00008,21.778900320709543
P0000025,highway_interchange,I00009,16.674681666499563
P0000025,data_center,I00011,15.496127894346145
P0000026,transmission_line,I00002,3.1607817106425817
P0000026,substation,I00004,3.1194959090969467
P0000026,fiber_node,I00007,4.4118000148213605
P0000026,water_source,I00008,17.610268823286667
P0000026,highway_interchange,I00009,7.804970944589091
P0000026,data_center,I00012,6.285863920509033
P0000027,transmission_line,I00001,5.546073902156464
P0000027,substation,I00004,6.902310008231203
P0000027,fiber_node,I00007,5.788072434963646
P0000027,water_source,I00008,21.214422935822252
P0000027,highway_interchange,I00009,1.6092647460988712
P0000027,data_center,I00012,13.396923690851477
P0000028,transmission_line,I00002,7.4946183703536455
P0000028,substation,I00005,2.469753420386907
P0000028,fiber_node,I00007,13.296278951639335
P0000028,water_source,I00008,9.063760578921443
P0000028,highway_interchange,I00009,13.545501235319035
P0000028,data_center,I00011,5.718340930510235
P0000029,transmission_line,I00001,11.057507538780397
P0000029,substation,I00004,22.691686414600706
P0000029,fiber_node,I00007,21.35097880451559
P0000029,water_source,I00008,31.184585385901535
P0000029,highway_interchange,I00009,16.176417611085075
P0000029,data_center,I00011,25.039927732905813
P0000030,transmission_line,I00002,8.068393076621367
P0000030,substation,I00005,3.900894999309019
P0000030,fiber_node,I00007,13.647102567561161
P0000030,water_source,I00008,11.844602176414362
P0000030,highway_interchange,I00009,12.234748781250406
P0000030,data_center,I00011,6.348924811848925
P0000031,transmission_line,I00002,9.348042645343158
P0000031,substation,I00005,4.871395434254964
P0000031,fiber_node,I00007,14.687380532518475
P0000031,water_source,I00008,7.173084329051346
P0000031,highway_interchange,I00010,14.144072316838432
P0000031,data_center,I00011,6.848189928358627
P0000032,transmission_line,I00003,16.565312144470877
P0000032,substation,I00004,15.629902150980998
P0000032,fiber_node,I00007,16.458244543217408
P0000032,water_source,I00008,30.868657005691723
P0000032,highway_interchange,I00010,11.33351566206421
P0000032,data_center,I00012,11.90200848809302
P0000033,transmission_line,I00002,11.57636763834312
P0000033,substation,I00005,2.047892433692461
P0000033,fiber_node,I00006,16.854992235257075
P0000033,water_source,I00008,6.190136468418156
P0000033,highway_interchange,I00009,17.219976193854087
P0000033,data_center,I00011,1.693813393546085
P0000034,transmission_line,I00002,13.897081448352436
P0000034,substation,I00004,9.338437616911968
P0000034,fiber_node,I00007,10.287727327516782
P0000034,water_source,I00008,25.74654659382399
P0000034,highway_interchange,I00010,7.99187766232465
P0000034,data_center,I00012,6.288135940262972
P0000035,transmission_line,I00002,16.121389909110157
P0000035,substation,I00005,6.66274144830283
P0000035,fiber_node,I00006,14.072551428645433
P0000035,water_source,I00008,3.824758611036752
P0000035,highway_interchange,I00009,21.83244784425354
P0000035,data_center,I00011,3.6971047264845773
P0000036,transmission_line,I00002,6.056884227202132
P0000036,substation,I00004,1.7787257314150222
P0000036,fiber_node,I00007,0.21456137266305575
P0000036,water_source,I00008,21.998500405475514
P0000036,highway_interchange,I00009,5.239248961020063
P0000036,data_center,I00012,8.491157505882844
P0000037,transmission_line,I00001,15.680302168484648
P0000037,substation,I00004,27.316886191020757
P0000037,fiber_node,I00007,25.95052369405754
P0000037,water_source,I00008,35.11786284824957
P0000037,highway_interchange,I00009,20.78008758981079
P0000037,data_center,I00011,28.87870611884285
P0000038,transmission_line,I00003,19.78382231300225
P0000038,substation,I00005,23.832363709081406
P0000038,fiber_node,I00006,5.51615122320549
P0000038,water_source,I00008,16.272822073475435
P0000038,highway_interchange,I00010,25.609958721504476
P0000038,data_center,I00011,22.566813975592385
P0000039,transmission_line,I00002,2.640101149689766
P0000039,substation,I00004,6.6930609953324245
P0000039,fiber_node,I00007,7.6933015163602025
P0000039,water_source,I00008,14.102098257574085
P0000039,highway_interchange,I00009,9.469130931387218
P0000039,data_center,I00012,8.400546257577544
P0000040,transmission_line,I00002,3.878471344034385
P0000040,substation,I00005,7.638298155254603
P0000040,fiber_node,I00007,8.875621652592356
P0000040,water_source,I00008,12.949281834737357
P0000040,highway_interchange,I00009,10.719482063084797
P0000040,data_center,I00012,8.581239792255397
