transaction_id,parcel_id,sale_date,sale_price,price_per_acre,sale_type
T00000001,P0002385,2020-08-15,1463786.7,5776.82,arms_length
T00000002,P0002539,2021-08-15,2181733.19,7086.78,arms_length
T00000003,P0002177,2021-02-15,1996996.5,6432.03,arms_length
T00000004,P0000898,2019-04-15,4276966.09,4788.07,arms_length
T00000005,P0000898,2021-11-15,5899160.12,6604.11,arms_length
T00000006,P0000898,2022-03-15,5033657.41,5635.18,arms_length
T00000007,P0000215,2019-05-15,274063.04,5679.53,arms_length
T00000008,P0000215,2020-10-15,268677.6,5567.92,arms_length
T00000009,P0002381,2019-01-15,1539286.01,6238.88,arms_length
T00000010,P0002381,2020-02-15,1642392.88,6656.79,arms_length
T00000011,P0002715,2020-12-15,677013.87,4914.07,arms_length
T00000012,P0002577,2020-12-15,553559.82,10363.94,arms_length
T00000013,P0002577,2023-03-15,318418.43,5961.54,arms_length
T00000014,P0002577,2024-02-15,470696.24,8812.54,arms_length
T00000015,P0000103,2025-08-15,1590345.16,6707.11,arms_length
T00000016,P0000193,2022-09-15,566998.76,5645.23,arms_length
T00000017,P0000193,2023-01-15,813384.91,8098.33,arms_length
T00000018,P0001448,2024-04-15,827445.19,7358.75,arms_length
T00000019,P0000230,2019-07-15,1419166.35,7845.9,arms_length
T00000020,P0000230,2021-11-15,1357564.97,7505.34,arms_length
T00000021,P0000230,2025-09-15,1739926.36,9619.23,arms_length
T00000022,P0000777,2019-09-15,4568776.8,7081.27,arms_length
T00000023,P0000777,2021-02-15,4786713.33,7419.06,arms_length
T00000024,P0000777,2022-05-15,6316044.3,9789.41,arms_length
T00000025,P0001237,2020-09-15,1149512.45,5234.8,arms_length
T00000026,P0002583,2022-04-15,1159681.29,6336.96,arms_length
T00000027,P0000018,2019-06-15,1051540.32,6182.42,arms_length
T00000028,P0001128,2020-12-15,2524928.56,8754.59,arms_length
T00000029,P0001128,2024-10-15,2440814.18,8462.95,arms_length
T00000030,P0000171,2019-09-15,2008592.38,4981.4,arms_length
T00000031,P0000171,2021-12-15,2334887.85,5790.63,arms_length
T00000032,P0002248,2019-09-15,857639.65,5399.37,arms_length
T00000033,P0002248,2024-12-15,1453644.12,9151.59,arms_length
T00000034,P0001092,2019-04-15,705049.6,8232.09,arms_length
T00000035,P0001092,2021-06-15,628325.45,7336.26,arms_length
T00000036,P0000606,2021-01-15,467884.84,8259.5,arms_length
T00000037,P0000606,2023-11-15,360384.13,6361.81,arms_length
T00000038,P0001458,2019-01-15,1862201.46,8485.67,arms_length
T00000039,P0001458,2020-07-15,1361244.86,6202.91,arms_length
T00000040,P0002006,2020-08-15,1783589.0,8938.9,arms_length
T00000041,P0002006,2023-04-15,2267907.25,11366.18,arms_length
T00000042,P0002896,2020-09-15,981799.88,4833.73,arms_length
T00000043,P0002896,2023-11-15,1153594.9,5679.53,arms_length
T00000044,P0002896,2025-01-15,1654855.32,8147.4,arms_length
T00000045,P0002853,2020-08-15,2870859.34,6086.26,arms_length
T00000046,P0002853,2024-04-15,3101201.66,6574.58,arms_length
T00000047,P0002853,2025-11-15,4713783.54,9993.28,arms_length
T00000048,P0002646,2021-04-15,1532163.92,9428.48,arms_length
T00000049,P0000290,2021-07-15,1428610.93,8422.89,arms_length
T00000050,P0000290,2022-09-15,1217019.91,7175.38,arms_length
T00000051,P0000487,2019-07-15,1270943.76,5789.75,arms_length
T00000052,P0000487,2020-09-15,1218574.25,5551.19,arms_length
T00000053,P0002186,2020-08-15,1559435.66,6338.79,arms_length
T00000054,P0002186,2021-06-15,1416979.72,5759.74,arms_length
T00000055,P0002186,2023-08-15,1921696.23,7811.31,arms_length
T00000056,P0001422,2019-12-15,436028.44,6188.16,arms_length
T00000057,P0001422,2021-04-15,643620.95,9134.34,arms_length
